"long","lat","age"
121.56312,25.08644,4
121.5478,25.09815,4
121.52667,25.05669,4
121.51706,25.11023,4
121.52168,25.04297,4
121.59034,25.08228,4
121.50629,25.04625,4
121.52668,25.1192,4
121.52674,25.11919,4
121.52662,25.1192,4
121.54115,25.03322,4
121.54422,25.04184,4
121.5057,25.08901,4
121.50568,25.08912,4
121.50515,25.0889,4
121.52721,25.06289,4
121.52734,25.06288,4
121.57561,25.07571,4
121.5755,25.07578,4
121.52318,25.12378,4
121.52329,25.12375,4
121.51957,25.02218,4
121.5385,25.04441,4
121.52637,25.0386,4
121.52435,25.09783,4
121.52433,25.09787,4
121.52425,25.09786,4
121.52437,25.09777,4
121.52404,25.09767,4
121.52403,25.09771,4
121.52402,25.09774,4
121.52401,25.09777,4
121.524,25.09779,4
121.52399,25.09781,4
121.52429,25.09796,4
121.52434,25.09797,4
121.5744,25.08601,4
121.51331,25.11965,4
121.5342,25.04763,4
121.52964,25.04412,4
121.51286,25.04221,4
121.58051,25.0613,4
121.51811,25.1072,4
121.51826,25.1071,4
121.51818,25.10702,4
121.5144,25.06024,4
121.54101,24.99046,4
121.49133,25.02365,4
121.49138,25.02355,4
121.52752,25.03885,4
121.52471,25.12054,4
121.50584,25.12784,4
121.50592,25.12791,4
121.50588,25.12799,4
121.50581,25.12811,4
121.50574,25.12821,4
121.50564,25.12817,4
121.56271,25.02662,4
121.61167,25.06009,4
121.61171,25.06014,4
121.61174,25.06018,4
121.61177,25.06021,4
121.6118,25.06025,4
121.61183,25.06028,4
121.61185,25.06032,4
121.61187,25.06038,4
121.61191,25.06039,4
121.61193,25.06043,4
121.50416,25.12722,4
121.50411,25.12734,4
121.50424,25.12739,4
121.54276,25.05342,4
121.53972,25.04823,4
121.57794,25.07757,4
121.50204,25.03945,4
121.50202,25.03927,4
121.52317,25.06121,4
121.53818,25.04562,4
121.53818,25.04559,4
121.49968,25.02286,4
121.54873,25.1349,4
121.54876,25.13506,4
121.54883,25.13516,4
121.54889,25.13522,4
121.54866,25.13494,4
121.62225,25.03821,4
121.6222,25.0382,4
121.62214,25.03821,4
121.62214,25.03812,4
121.52642,25.05589,4
121.52643,25.05594,4
121.52715,25.05575,4
121.52688,25.05576,4
121.52683,25.05576,4
121.5268,25.05576,4
121.52676,25.05576,4
121.52667,25.05577,4
121.52663,25.05577,4
121.52659,25.05577,4
121.52654,25.05578,4
121.5265,25.05577,4
121.52644,25.05578,4
121.52711,25.05575,4
121.52706,25.05576,4
121.52695,25.05576,4
121.52692,25.05576,4
121.52681,25.05605,4
121.52668,25.05607,4
121.52663,25.05609,4
121.52714,25.05601,4
121.52658,25.05609,4
121.52651,25.0561,4
121.52709,25.05602,4
121.52704,25.05602,4
121.5272,25.05578,4
121.5272,25.05583,4
121.5272,25.05587,4
121.5272,25.05591,4
121.52719,25.05595,4
121.52719,25.05599,4
121.59245,25.06576,4
121.59245,25.06568,4
121.59238,25.06561,4
121.59233,25.06561,4
121.59244,25.0656,4
121.59234,25.06566,4
121.50858,25.14095,4
121.50871,25.14044,4
121.50884,25.14069,4
121.50618,25.12737,4
121.50597,25.12767,4
121.50591,25.12765,4
121.50586,25.12763,4
121.50615,25.12745,4
121.50613,25.12751,4
121.50609,25.12761,4
121.50605,25.12768,4
121.49905,25.03838,4
121.49893,25.03838,4
121.51273,25.05708,4
121.56195,24.98818,4
121.61368,25.04763,4
121.57053,25.01862,4
121.57052,25.01855,4
121.5705,25.01846,4
121.57048,25.01837,4
121.57046,25.0183,4
121.57043,25.01822,4
121.53255,25.05667,4
121.53255,25.05673,4
121.49439,25.14457,4
121.49436,25.14452,4
121.56059,25.09146,4
121.56068,25.09145,4
121.56077,25.09146,4
121.56087,25.09146,4
121.50955,25.05961,4
121.50947,25.05961,4
121.50947,25.05966,4
121.52593,25.05002,4
121.54445,25.05799,4
121.53242,25.03516,4
121.57744,25.0745,4
121.51746,25.09131,4
121.49914,25.12246,4
121.56436,25.07805,4
121.55898,24.98061,4
121.51673,25.07156,4
121.51722,25.07076,4
121.54515,25.0501,4
121.52705,25.03696,4
121.53951,25.06442,4
121.56436,24.98328,4
121.56435,24.98339,4
121.56431,24.98349,4
121.56427,24.98359,4
121.56419,24.98363,4
121.53102,25.04563,4
121.50954,25.08931,4
121.5746,25.04726,4
121.5746,25.04722,4
121.52831,25.01984,4
121.52825,25.01991,4
121.52822,25.01996,4
121.52847,25.01969,4
121.52842,25.01973,4
121.52835,25.0198,4
121.52853,25.01964,4
121.52858,25.01969,4
121.52866,25.01974,4
121.5287,25.0198,4
121.52847,25.02016,4
121.52853,25.02011,4
121.52858,25.02007,4
121.52865,25.02,4
121.52869,25.01995,4
121.52874,25.01991,4
121.52877,25.01988,4
121.54931,25.08484,4
121.58409,25.08558,4
121.53847,25.06441,4
121.54214,25.04701,4
121.51103,25.08012,4
121.51105,25.08009,4
121.53162,25.09514,4
121.53744,25.04446,4
121.53766,25.04445,4
121.53787,25.04444,4
121.5381,25.04443,4
121.53755,25.04401,4
121.53776,25.04402,4
121.53799,25.04403,4
121.48451,25.13964,4
121.512,25.0523,4
121.52514,25.02738,4
121.58361,25.08908,4
121.58353,25.08914,4
121.58345,25.0892,4
121.58337,25.08926,4
121.58331,25.08932,4
121.58373,25.08929,4
121.59714,25.06476,4
121.59711,25.06486,4
121.5972,25.06487,4
121.59723,25.06477,4
121.57596,24.98784,4
121.50703,25.08376,4
121.50914,25.0891,4
121.56733,25.05642,5
121.5674,25.05642,5
121.56753,25.05644,5
121.56763,25.05644,5
121.60407,25.08638,5
121.55673,25.10669,5
121.58314,25.05952,5
121.58301,25.05946,5
121.525,25.06099,5
121.52494,25.06098,5
121.52489,25.06092,5
121.52841,25.02688,5
121.58599,25.06538,5
121.586,25.06548,5
121.58602,25.06557,5
121.58603,25.06568,5
121.58603,25.06576,5
121.58604,25.06585,5
121.58621,25.06584,5
121.5863,25.06581,5
121.58638,25.06578,5
121.58647,25.06576,5
121.58655,25.06573,5
121.58663,25.0657,5
121.58644,25.06586,5
121.58656,25.06581,5
121.58665,25.06577,5
121.58676,25.06573,5
121.58616,25.06593,5
121.58675,25.06567,5
121.58623,25.06592,5
121.58633,25.06589,5
121.61193,25.0691,5
121.57044,25.03462,5
121.57044,25.03472,5
121.57056,25.03462,5
121.57057,25.03472,5
121.52511,25.06661,5
121.5246,25.06629,5
121.52476,25.06629,5
121.52487,25.06628,5
121.52496,25.06628,5
121.52909,25.11738,5
121.51035,25.04704,5
121.51063,25.04707,5
121.5107,25.04708,5
121.51068,25.04716,5
121.51042,25.04705,5
121.51047,25.04705,5
121.51053,25.04706,5
121.51059,25.04707,5
121.51027,25.04703,5
121.49487,25.02703,5
121.55361,25.05632,5
121.55385,25.05633,5
121.57735,25.01869,5
121.52546,25.06064,5
121.52547,25.06068,5
121.52547,25.06071,5
121.52523,25.06065,5
121.52249,25.1152,5
121.52243,25.11521,5
121.52241,25.11517,5
121.52396,25.12312,5
121.52544,25.09658,5
121.5254,25.09663,5
121.54537,24.99863,5
121.54523,24.99859,5
121.54525,24.99853,5
121.55102,24.98914,5
121.52347,25.05591,5
121.5235,25.05591,5
121.52353,25.05591,5
121.52345,25.05591,5
121.57174,25.04901,5
121.58108,25.08163,5
121.581,25.08163,5
121.58092,25.08164,5
121.58085,25.08165,5
121.5809,25.08138,5
121.58129,25.08148,5
121.58123,25.0816,5
121.54799,25.14256,5
121.50371,25.14222,5
121.50902,25.06046,5
121.61585,25.04575,5
121.59207,25.06532,5
121.59209,25.06542,5
121.59218,25.0654,5
121.59229,25.06537,5
121.5924,25.06534,5
121.59237,25.06523,5
121.59228,25.06525,5
121.56747,25.04535,5
121.50049,25.03554,5
121.5024,25.13901,5
121.5495,25.10037,5
121.46999,25.12778,5
121.51635,25.07182,5
121.50019,25.12627,5
121.49999,25.12624,5
121.49983,25.12618,5
121.50017,25.12639,5
121.51197,25.02845,5
121.51203,25.02842,5
121.54532,25.05369,5
121.54538,25.05377,5
121.50692,25.11777,5
121.53384,25.07035,5
121.52484,25.08704,5
121.52495,25.0871,5
121.52484,25.08727,5
121.52469,25.08722,5
121.52466,25.0873,5
121.52451,25.0873,5
121.52448,25.08732,5
121.52446,25.08735,5
121.52443,25.08739,5
121.5244,25.08741,5
121.52439,25.08744,5
121.52436,25.08747,5
121.52434,25.08751,5
121.52076,25.04958,5
121.60291,25.08448,5
121.47735,25.1347,5
121.61197,25.06997,5
121.51348,25.0811,5
121.51345,25.08118,5
121.53192,25.0574,5
121.53192,25.05732,5
121.49746,25.0343,5
121.49742,25.03429,5
121.56118,25.08125,5
121.56121,25.0812,5
121.56124,25.08112,5
121.56127,25.08105,5
121.5613,25.08097,5
121.56135,25.08087,5
121.5612,25.08088,5
121.56113,25.08088,5
121.56043,25.08071,5
121.56049,25.08071,5
121.56056,25.08071,5
121.56064,25.08052,5
121.56034,25.08047,5
121.56066,25.08124,5
121.56063,25.08123,5
121.56059,25.08124,5
121.56056,25.08124,5
121.56052,25.08124,5
121.56047,25.08124,5
121.56043,25.08124,5
121.5604,25.08124,5
121.56036,25.08124,5
121.56032,25.08124,5
121.56035,25.08058,5
121.56032,25.08072,5
121.56032,25.08012,5
121.56037,25.08012,5
121.56042,25.08012,5
121.56046,25.08012,5
121.56052,25.08012,5
121.56057,25.08011,5
121.56063,25.08011,5
121.5607,25.08011,5
121.56077,25.08011,5
121.56083,25.08011,5
121.56088,25.08011,5
121.56095,25.08011,5
121.5053,25.12854,5
121.50541,25.12862,5
121.50542,25.12838,5
121.50553,25.12848,5
121.50968,25.05739,5
121.49143,25.03261,5
121.49141,25.03256,5
121.51051,25.0575,5
121.50987,25.05744,5
121.50158,25.03456,5
121.50124,25.03451,5
121.55179,25.08388,5
121.55181,25.08396,5
121.52697,25.06583,5
121.52689,25.06583,5
121.52754,25.09243,5
121.59689,25.06807,5
121.59695,25.06805,5
121.52031,25.05882,5
121.5372,25.06512,5
121.55955,25.09052,5
121.55955,25.09065,5
121.55954,25.0908,5
121.55953,25.09095,5
121.55937,25.09096,5
121.55921,25.09097,5
121.5592,25.09085,5
121.50991,25.06031,5
121.50941,25.06029,5
121.5761,25.07174,5
121.57574,25.0717,5
121.53028,25.05572,5
121.53038,25.05572,5
121.52065,25.02862,5
121.52069,25.0285,5
121.51155,25.04472,5
121.51157,25.04462,5
121.5967,25.06818,5
121.55146,25.02458,5
121.55992,25.08327,5
121.59116,25.07009,5
121.5914,25.07008,5
121.59116,25.0703,5
121.59141,25.07029,5
121.4923,25.026,5
121.53847,25.00582,5
121.5033,25.0435,5
121.50325,25.04351,5
121.50319,25.04352,5
121.50314,25.04353,5
121.50328,25.04384,5
121.50339,25.0438,5
121.51349,25.03285,5
121.56198,25.00644,5
121.51798,25.05501,5
121.53403,25.05262,5
121.52278,25.06303,5
121.52277,25.06307,5
121.52276,25.06311,5
121.52274,25.06317,5
121.54854,25.0491,5
121.56664,24.98686,5
121.54627,25.0977,5
121.54639,25.09775,5
121.54649,25.09776,5
121.54652,25.0977,5
121.54655,25.09764,5
121.54619,25.09769,5
121.50821,25.11577,5
121.57395,25.03411,5
121.49899,25.0922,5
121.53033,25.12013,5
121.51561,25.10894,5
121.51557,25.10897,5
121.51555,25.10899,5
121.54453,25.03071,5
121.54464,25.03071,5
121.52809,25.09862,5
121.52806,25.09873,5
121.57311,25.07622,5
121.4996,25.12684,5
121.49953,25.12683,5
121.49948,25.12683,5
121.49946,25.1269,5
121.49949,25.12692,5
121.49953,25.12692,5
121.49957,25.12693,5
121.49961,25.12694,5
121.49966,25.12694,5
121.49993,25.12689,5
121.49971,25.12695,5
121.49975,25.12695,5
121.49978,25.12696,5
121.49981,25.12697,5
121.49984,25.12697,5
121.49987,25.12698,5
121.4999,25.12698,5
121.49987,25.12688,5
121.49982,25.12687,5
121.49976,25.12686,5
121.49972,25.12686,5
121.49968,25.12685,5
121.49963,25.12684,5
121.52444,25.06306,5
121.53078,25.04142,5
121.56762,25.1132,5
121.50952,25.08892,5
121.50955,25.08893,5
121.50959,25.08893,5
121.50962,25.08894,5
121.58025,25.04377,5
121.58022,25.04377,5
121.58018,25.04377,5
121.58014,25.04376,5
121.58014,25.04371,5
121.58014,25.04366,5
121.56288,25.0066,5
121.56288,25.00669,5
121.51081,25.06807,5
121.61145,25.06103,5
121.61148,25.06114,5
121.51102,25.03092,5
121.54982,24.9882,5
121.54969,24.98827,5
121.52451,25.12328,5
121.52888,25.03367,5
121.52894,25.03366,5
121.52901,25.03365,5
121.52238,25.12383,5
121.52255,25.12393,5
121.52235,25.12401,5
121.52271,25.12369,5
121.52634,25.0519,5
121.52644,25.05189,5
121.52471,25.06222,5
121.55663,24.99524,5
121.52486,25.02487,5
121.52495,25.02486,5
121.59166,25.06736,5
121.59156,25.06737,5
121.57342,24.99024,5
121.57342,24.99037,5
121.57361,24.99038,5
121.57361,24.99025,5
121.59183,25.07029,5
121.59175,25.0701,5
121.48863,25.13962,5
121.48875,25.13961,5
121.48861,25.13951,5
121.48874,25.1395,5
